index,China Import,China Inflation Rate,USA Inflation Rate
2008-OCT,3916.67,4.03,3.7
2008-NOV,3916.67,2.48,1.1
2008-DEC,3916.67,1.26,0.1
2009-JAN,108000,0.96,0
2009-FEB,108000,-1.6,0.2
2009-MAR,108000,-1.2,-0.4
2009-APR,108000,-1.5,-0.7
2009-MAY,108000,-1.4,-1.3
2009-JUN,108000,-1.7,-1.4
2009-JUL,108000,-1.79,-2.1
2009-AUG,108000,-1.2,-1.5
2009-SEP,108000,-0.81,-1.3
2009-OCT,108000,-0.61,-0.2
2009-NOV,108000,0.5,1.8
2009-DEC,108000,1.7,2.7
2010-JAN,81583.33,1.4,2.6
2010-FEB,81583.33,2.62,2.1
2010-MAR,81583.33,2.2,2.3
2010-APR,81583.33,2.62,2.2
2010-MAY,81583.33,2.82,2
2010-JUN,81583.33,2.72,1.1
2010-JUL,81583.33,3.13,1.2
2010-AUG,81583.33,3.23,1.1
2010-SEP,81583.33,3.43,1.1
2010-OCT,81583.33,4.26,1.2
2010-NOV,81583.33,5.09,1.1
2010-DEC,81583.33,4.57,1.5
2011-JAN,435916.67,5,1.6
2011-FEB,435916.67,5.07,2.1
2011-MAR,435916.67,5.6,2.7
2011-APR,435916.67,5.5,3.2
2011-MAY,435916.67,5.7,3.6
2011-JUN,435916.67,6.67,3.6
2011-JUL,435916.67,6.71,3.6
2011-AUG,435916.67,6.37,3.8
2011-SEP,435916.67,6.24,3.9
2011-OCT,435916.67,5.6,3.5
2011-NOV,435916.67,4.25,3.4
2011-DEC,435916.67,4.03,3
2012-JAN,225166.67,4.54,2.9
2012-FEB,225166.67,3.13,2.9
2012-MAR,225166.67,3.52,2.7
2012-APR,225166.67,3.33,2.3
2012-MAY,225166.67,2.94,1.7
2012-JUN,225166.67,2.06,1.7
2012-JUL,225166.67,1.7,1.4
2012-AUG,225166.67,2.08,1.7
2012-SEP,225166.67,1.91,2
2012-OCT,225166.67,1.71,2.2
2012-NOV,225166.67,2.07,1.8
2012-DEC,225166.67,2.53,1.7
2013-JAN,273083.33,2.02,1.6
2013-FEB,273083.33,3.24,2
2013-MAR,273083.33,2.12,1.5
2013-APR,273083.33,2.42,1.1
2013-MAY,273083.33,2.09,1.4
2013-JUN,273083.33,2.66,1.8
2013-JUL,273083.33,2.67,2
2013-AUG,273083.33,2.52,1.5
2013-SEP,273083.33,3.02,1.2
2013-OCT,273083.33,3.23,1
2013-NOV,273083.33,2.95,1.2
2013-DEC,273083.33,2.51,1.5
2014-JAN,459666.67,2.51,1.6
2014-FEB,459666.67,1.91,1.1
2014-MAR,459666.67,2.31,1.5
2014-APR,459666.67,1.7,2
2014-MAY,459666.67,2.41,2.1
2014-JUN,459666.67,2.31,2.1
2014-JUL,459666.67,2.21,2
2014-AUG,459666.67,1.9,1.7
2014-SEP,459666.67,1.61,1.7
2014-OCT,459666.67,1.51,1.7
2014-NOV,459666.67,1.3,1.3
2014-DEC,459666.67,1.41,0.8
2015-JAN,264500,0.71,-0.1
2015-FEB,264500,1.41,0
2015-MAR,264500,1.32,-0.1
2015-APR,264500,1.53,-0.2
2015-MAY,264500,1.22,0
2015-JUN,264500,1.32,0.1
2015-JUL,264500,1.73,0.2
2015-AUG,264500,2.03,0.2
2015-SEP,264500,1.62,0
2015-OCT,264500,1.21,0.2
2015-NOV,264500,1.52,0.5
2015-DEC,264500,1.62,0.7
2016-JAN,205333.33,1.81,1.4
2016-FEB,205333.33,2.19,1
2016-MAR,205333.33,2.3,0.9
2016-APR,205333.33,2.31,1.1
2016-MAY,205333.33,2.11,1
2016-JUN,205333.33,1.91,1
2016-JUL,205333.33,1.7,0.8
2016-AUG,205333.33,1.29,1.1
2016-SEP,205333.33,1.89,1.5
2016-OCT,205333.33,2.2,1.6
2016-NOV,205333.33,2.3,1.7
2016-DEC,205333.33,1.99,2.1
2017-JAN,288000,2.57,2.5
2017-FEB,288000,0.78,2.7
2017-MAR,288000,0.98,2.4
2017-APR,288000,1.18,2.2
2017-MAY,288000,1.67,1.9
2017-JUN,288000,1.68,1.6
2017-JUL,288000,1.38,1.7
2017-AUG,288000,1.77,1.9
2017-SEP,288000,1.66,2.2
2017-OCT,288000,1.86,2
2017-NOV,288000,1.76,2.2
2017-DEC,288000,1.85,2.1
2018-JAN,373583.33,1.45,2.1
2018-FEB,373583.33,2.9,2.2
2018-MAR,373583.33,2.03,2.4
2018-APR,373583.33,1.84,2.5
2018-MAY,373583.33,1.55,2.8
2018-JUN,373583.33,1.75,2.9
2018-JUL,373583.33,2.15,2.9
2018-AUG,373583.33,2.32,2.7
2018-SEP,373583.33,2.4,2.3
2018-OCT,373583.33,2.5,2.5
2018-NOV,373583.33,2.11,2.2
2018-DEC,373583.33,1.91,1.9
2019-JAN,583333.33,1.71,1.6
2019-FEB,583333.33,1.5,1.5
2019-MAR,583333.33,2.28,1.9
2019-APR,583333.33,2.57,2
2019-MAY,583333.33,2.76,1.8
2019-JUN,583333.33,2.67,1.6
2019-JUL,583333.33,2.76,1.8
2019-AUG,583333.33,2.83,1.7
2019-SEP,583333.33,3,1.7
2019-OCT,583333.33,3.75,1.8
2019-NOV,583333.33,4.51,2.1
2019-DEC,583333.33,4.41,2.3
2020-JAN,583333.33,5.42,2.5
2020-FEB,583333.33,5.18,2.3
2020-MAR,583333.33,4.27,1.5
2020-APR,583333.33,3.25,0.3
2020-MAY,583333.33,2.41,0.1
2020-JUN,583333.33,2.51,0.6
2020-JUL,583333.33,1.76,1
2020-AUG,583333.33,2.39,1.3
2020-SEP,583333.33,1.73,1.4
