"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","CORN - ACRES PLANTED  -  <b>VALUE</b>","CORN - ACRES PLANTED  -  <b>CV (%)</b>","CORN, FORAGE - ACRES HARVESTED  -  <b>VALUE</b>","CORN, FORAGE - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>VALUE</b>","CORN, GRAIN - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>VALUE</b>","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>VALUE</b>","CORN, GRAIN - PRODUCTION, MEASURED IN BU  -  <b>CV (%)</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>VALUE</b>","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE  -  <b>CV (%)</b>","CORN, SILAGE - ACRES HARVESTED  -  <b>VALUE</b>","CORN, SILAGE - ACRES HARVESTED  -  <b>CV (%)</b>","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON  -  <b>VALUE</b>","CORN, SILAGE - PRICE RECEIVED, MEASURED IN $ / TON  -  <b>CV (%)</b>","CORN, SILAGE - PRODUCTION, MEASURED IN TONS  -  <b>VALUE</b>","CORN, SILAGE - PRODUCTION, MEASURED IN TONS  -  <b>CV (%)</b>","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE  -  <b>VALUE</b>","CORN, SILAGE - YIELD, MEASURED IN TONS / ACRE  -  <b>CV (%)</b>"
"SURVEY","2020","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","5,400,000","","","","5,250,000","","","","","","992,250,000","","189","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","13,700,000","","","","12,700,000","","","","","","2,336,800,000","","184","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","6,100,000","","","","5,750,000","","","","","","759,000,000","","132","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,480,000","","","","1,360,000","","","","","","246,160,000","","181","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","500,000","","","","490,000","","","","","","90,160,000","","184","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","500,000","","","","455,000","","","","","","69,615,000","","153","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,350,000","","","","1,980,000","","","","","","316,800,000","","160","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","8,000,000","","","","7,550,000","","","","","","1,525,100,000","","202","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","510,000","","","","490,000","","","","","","88,690,000","","181","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,450,000","","","","3,300,000","","","","","","551,100,000","","167","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","115,000","","","","66,000","","","","","","","","","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","10,200,000","","","","9,830,000","","","","","","1,818,550,000","","185","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","86,000","","","","80,000","","","","","","","","","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","125,000","","","","29,000","","","","","","","","","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,050,000","","","","520,000","","","","","","86,320,000","","166","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,000,000","","","","940,000","","","","","","109,980,000","","117","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,950,000","","","","1,790,000","","","","","","259,550,000","","145","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,500,000","","","","3,300,000","","","","","","554,400,000","","168","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","360,000","","","","320,000","","","","","","44,160,000","","138","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","100,000","","","","53,000","","","","","","","","","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,470,000","","","","1,000,000","","","","","","152,000,000","","152","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","400,000","","","","370,000","","","","","","50,320,000","","136","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","5,000,000","","","","4,560,000","","","","","","752,400,000","","165","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","870,000","","","","820,000","","","","","","135,300,000","","165","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,250,000","","","","1,870,000","","","","","","259,930,000","","139","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","UTAH","49","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","90,000","","","","28,000","","","","","","","","","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","570,000","","","","410,000","","","","","","53,710,000","","131","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","180,000","","","","105,000","","","","","","25,200,000","","240","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","50,000","","","","35,000","","","","","","","","","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,000,000","","","","2,900,000","","","","","","533,600,000","","184","","","","","","","","",""
"SURVEY","2020","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","95,000","","","","64,000","","","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.99","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","5.4","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.86","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.6","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.68","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.3","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.39","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.53","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.47","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.55","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.84","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.5","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","KANSAS","20","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.56","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.92","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.86","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.3","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.73","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.26","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.86","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.67","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.7","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.52","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.3","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.4","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.2","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.41","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.07","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.91","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.34","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.13","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.64","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.32","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.78","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.2","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","UTAH","49","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.3","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.1","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.13","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","4.1","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.43","","","","","","","","","","","","","","",""
"SURVEY","2019","MARKETING YEAR","","STATE","WYOMING","56","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","","","","","","","3.45","","","","","","","","","","","","","","",""
"SURVEY","2019","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","320,000","","","","305,000","","","","188,307,000","","44,835,000","","147","","7,000","","","","91,000","","13",""
"SURVEY","2019","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","90,000","","","","37,000","","","","45,299,000","","8,547,000","","231","","50,000","","","","1,450,000","","29",""
"SURVEY","2019","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","770,000","","","","735,000","","","","494,813,000","","128,625,000","","175","","7,000","","","","112,000","","16",""
"SURVEY","2019","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","480,000","","","","60,000","","","","45,864,000","","10,080,000","","168","","415,000","","","","11,205,000","","27",""
"SURVEY","2019","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,550,000","","","","1,300,000","","","","631,605,000","","159,900,000","","123","","175,000","","","","4,200,000","","24",""
"SURVEY","2019","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","185,000","","","","180,000","","","","124,614,000","","28,980,000","","161","","4,000","","","","92,000","","23",""
"SURVEY","2019","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","95,000","","","","54,000","","","","39,123,000","","8,694,000","","161","","35,000","","","","700,000","","20",""
"SURVEY","2019","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","395,000","","","","350,000","","","","252,000,000","","56,000,000","","160","","25,000","","","","550,000","","22",""
"SURVEY","2019","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","390,000","","","","150,000","","","","136,530,000","","30,750,000","","205","","235,000","","","","6,580,000","","28",""
"SURVEY","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","10,500,000","","","","10,200,000","","","","7,107,870,000","","1,846,200,000","","181","","170,000","","","","3,400,000","","20",""
"SURVEY","2019","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","5,000,000","","","","4,820,000","","","","3,339,778,000","","814,580,000","","169","","110,000","","","","2,200,000","","20",""
"SURVEY","2019","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","13,500,000","","","","13,050,000","","","","9,818,820,000","","2,583,900,000","","198","","360,000","","","","7,920,000","","22",""
"SURVEY","2019","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","6,400,000","","","","6,020,000","","","","2,962,442,000","","800,660,000","","133","","250,000","","","","4,375,000","","17.5",""
"SURVEY","2019","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,550,000","","","","1,450,000","","","","1,004,705,000","","245,050,000","","169","","80,000","","","","1,680,000","","21",""
"SURVEY","2019","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","570,000","","","","545,000","","","","355,204,000","","89,925,000","","165","","3,000","","","","57,000","","19",""
"SURVEY","2019","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","510,000","","","","460,000","","","","318,458,000","","74,060,000","","161","","40,000","","","","880,000","","22",""
"SURVEY","2019","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,000,000","","","","1,610,000","","","","959,560,000","","236,670,000","","147","","340,000","","","","6,290,000","","18.5",""
"SURVEY","2019","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","7,800,000","","","","7,250,000","","","","4,610,826,000","","1,254,250,000","","173","","460,000","","","","8,740,000","","19",""
"SURVEY","2019","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","660,000","","","","620,000","","","","431,520,000","","107,880,000","","174","","7,000","","","","105,000","","15",""
"SURVEY","2019","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,200,000","","","","2,990,000","","","","1,807,455,000","","463,450,000","","155","","70,000","","","","1,120,000","","16",""
"SURVEY","2019","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","115,000","","","","60,000","","","","23,940,000","","5,700,000","","95","","50,000","","","","1,150,000","","23",""
"SURVEY","2019","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","10,100,000","","","","9,810,000","","","","6,784,596,000","","1,785,420,000","","182","","200,000","","","","4,600,000","","23",""
"SURVEY","2019","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","77,000","","","","68,000","","","","45,322,000","","10,540,000","","155","","7,000","","","","154,000","","22",""
"SURVEY","2019","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","150,000","","","","48,000","","","","27,324,000","","6,480,000","","135","","93,000","","","","1,860,000","","20",""
"SURVEY","2019","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,020,000","","","","545,000","","","","367,690,000","","86,110,000","","158","","445,000","","","","8,010,000","","18",""
"SURVEY","2019","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","990,000","","","","930,000","","","","459,374,000","","103,230,000","","111","","50,000","","","","900,000","","18",""
"SURVEY","2019","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","3,500,000","","","","3,130,000","","","","1,616,777,000","","410,030,000","","131","","140,000","","","","2,730,000","","19.5",""
"SURVEY","2019","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,800,000","","","","2,570,000","","","","1,770,216,000","","421,480,000","","164","","170,000","","","","3,230,000","","19",""
"SURVEY","2019","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","370,000","","","","330,000","","","","185,361,000","","45,210,000","","137","","20,000","","","","260,000","","13",""
"SURVEY","2019","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","85,000","","","","49,000","","","","50,623,000","","11,613,000","","237","","35,000","","","","840,000","","24",""
"SURVEY","2019","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","1,450,000","","","","1,060,000","","","","713,592,000","","162,180,000","","153","","380,000","","","","7,600,000","","20",""
"SURVEY","2019","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","380,000","","","","350,000","","","","172,515,000","","37,100,000","","106","","13,000","","","","182,000","","14",""
"SURVEY","2019","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","4,350,000","","","","3,870,000","","","","2,097,715,000","","557,280,000","","144","","340,000","","","","5,950,000","","17.5",""
"SURVEY","2019","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","970,000","","","","910,000","","","","636,227,000","","161,070,000","","177","","40,000","","","","800,000","","20",""
"SURVEY","2019","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","2,500,000","","","","2,150,000","","","","1,229,585,000","","285,950,000","","133","","280,000","","","","5,600,000","","20",""
"SURVEY","2019","YEAR","","STATE","UTAH","49","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","85,000","","","","26,000","","","","16,359,000","","3,718,000","","143","","55,000","","","","1,320,000","","24",""
"SURVEY","2019","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","CORN","TOTAL","NOT SPECIFIED","540,000","","","","380,000","","","","227,088,000","","54,720,000","","144","","135,000","","","","2,565,000","","19",""
